attribute,value,reactorName
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),GENTILLY-2
Model,CANDU 6,GENTILLY-2
Owner,Hydro Quebec,GENTILLY-2
Operator,Hydro Quebec,GENTILLY-2
Construction Start,"Monday, 1 April 1974",GENTILLY-2
First Criticality,"Saturday, 11 September 1982",GENTILLY-2
First Grid Connection,"Saturday, 4 December 1982",GENTILLY-2
Commercial Operation,"Saturday, 1 October 1983",GENTILLY-2
Permanent Shutdown,"Friday, 28 December 2012",GENTILLY-2
Capacity Net,635 MWe,GENTILLY-2
Capacity Gross,675 MWe,GENTILLY-2
Thermal Capacity,2156 MWt,GENTILLY-2
Design Net Capacity,645 MWe,GENTILLY-2
Total GWh,124829.18,GENTILLY-2
Reactor Type,Heavy Water Light Water Reactor (or HWLWR),GENTILLY-1
Model,HW BLWR 250,GENTILLY-1
Owner,Canadian Nuclear Laboratories Limited,GENTILLY-1
Operator,Hydro Quebec,GENTILLY-1
Construction Start,"Thursday, 1 September 1966",GENTILLY-1
First Criticality,"Thursday, 12 November 1970",GENTILLY-1
First Grid Connection,"Monday, 5 April 1971",GENTILLY-1
Commercial Operation,"Monday, 1 May 1972",GENTILLY-1
Permanent Shutdown,"Wednesday, 1 June 1977",GENTILLY-1
Capacity Net,250 MWe,GENTILLY-1
Capacity Gross,266 MWe,GENTILLY-1
Thermal Capacity,792 MWt,GENTILLY-1
Design Net Capacity,250 MWe,GENTILLY-1
Total GWh,737.6,GENTILLY-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),ROLPHTON%20NPD
Model,CANDU,ROLPHTON%20NPD
Owner,"Aecl

Ontario Hydro",ROLPHTON%20NPD
Operator,Ontario Hydro,ROLPHTON%20NPD
Construction Start,"Wednesday, 1 January 1958",ROLPHTON%20NPD
First Criticality,"Wednesday, 11 April 1962",ROLPHTON%20NPD
First Grid Connection,"Monday, 4 June 1962",ROLPHTON%20NPD
Commercial Operation,"Monday, 1 October 1962",ROLPHTON%20NPD
Permanent Shutdown,"Saturday, 1 August 1987",ROLPHTON%20NPD
Capacity Net,22 MWe,ROLPHTON%20NPD
Capacity Gross,25 MWe,ROLPHTON%20NPD
Thermal Capacity,92 MWt,ROLPHTON%20NPD
Design Net Capacity,17 MWe,ROLPHTON%20NPD
Total GWh,2169,ROLPHTON%20NPD
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),PICKERING-5
Model,CANDU 500B,PICKERING-5
Owner,Ontario Power Generation,PICKERING-5
Operator,Ontario Power Generation,PICKERING-5
Construction Start,"Friday, 1 November 1974",PICKERING-5
First Criticality,"Saturday, 23 October 1982",PICKERING-5
First Grid Connection,"Sunday, 19 December 1982",PICKERING-5
Commercial Operation,"Tuesday, 10 May 1983",PICKERING-5
Capacity Net,516 MWe,PICKERING-5
Capacity Gross,540 MWe,PICKERING-5
Thermal Capacity,1744 MWt,PICKERING-5
Design Net Capacity,516 MWe,PICKERING-5
Total GWh,137110.36,PICKERING-5
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),PICKERING-6
Model,CANDU 500B,PICKERING-6
Owner,Ontario Power Generation,PICKERING-6
Operator,Ontario Power Generation,PICKERING-6
Construction Start,"Wednesday, 1 October 1975",PICKERING-6
First Criticality,"Saturday, 15 October 1983",PICKERING-6
First Grid Connection,"Tuesday, 8 November 1983",PICKERING-6
Commercial Operation,"Wednesday, 1 February 1984",PICKERING-6
Capacity Net,516 MWe,PICKERING-6
Capacity Gross,540 MWe,PICKERING-6
Thermal Capacity,1744 MWt,PICKERING-6
Design Net Capacity,516 MWe,PICKERING-6
Total GWh,142175.27,PICKERING-6
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),PICKERING-7
Model,CANDU 500B,PICKERING-7
Owner,Ontario Power Generation,PICKERING-7
Operator,Ontario Power Generation,PICKERING-7
Construction Start,"Monday, 1 March 1976",PICKERING-7
First Criticality,"Monday, 22 October 1984",PICKERING-7
First Grid Connection,"Saturday, 17 November 1984",PICKERING-7
Commercial Operation,"Tuesday, 1 January 1985",PICKERING-7
Capacity Net,516 MWe,PICKERING-7
Capacity Gross,540 MWe,PICKERING-7
Thermal Capacity,1744 MWt,PICKERING-7
Design Net Capacity,516 MWe,PICKERING-7
Total GWh,138893.44,PICKERING-7
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),PICKERING-8
Model,CANDU 500B,PICKERING-8
Owner,Ontario Power Generation,PICKERING-8
Operator,Ontario Power Generation,PICKERING-8
Construction Start,"Wednesday, 1 September 1976",PICKERING-8
First Criticality,"Tuesday, 17 December 1985",PICKERING-8
First Grid Connection,"Tuesday, 21 January 1986",PICKERING-8
Commercial Operation,"Friday, 28 February 1986",PICKERING-8
Capacity Net,516 MWe,PICKERING-8
Capacity Gross,540 MWe,PICKERING-8
Thermal Capacity,1744 MWt,PICKERING-8
Design Net Capacity,516 MWe,PICKERING-8
Total GWh,128977.99,PICKERING-8
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),PICKERING-1
Model,CANDU 500A,PICKERING-1
Owner,Ontario Power Generation,PICKERING-1
Operator,Ontario Power Generation,PICKERING-1
Construction Start,"Wednesday, 1 June 1966",PICKERING-1
First Criticality,"Thursday, 25 February 1971",PICKERING-1
First Grid Connection,"Sunday, 4 April 1971",PICKERING-1
Commercial Operation,"Thursday, 29 July 1971",PICKERING-1
Long-term Shutdown,"Wednesday, 31 December 1997",PICKERING-1
Restart,"Monday, 26 September 2005",PICKERING-1
Permanent Shutdown,"Monday, 30 September 2024",PICKERING-1
Capacity Net,515 MWe,PICKERING-1
Capacity Gross,542 MWe,PICKERING-1
Thermal Capacity,1744 MWt,PICKERING-1
Design Net Capacity,508 MWe,PICKERING-1
Total GWh,135004.81,PICKERING-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),PICKERING-2
Model,CANDU 500A,PICKERING-2
Owner,Ontario Power Generation,PICKERING-2
Operator,Ontario Power Generation,PICKERING-2
Construction Start,"Thursday, 1 September 1966",PICKERING-2
First Criticality,"Wednesday, 15 September 1971",PICKERING-2
First Grid Connection,"Wednesday, 6 October 1971",PICKERING-2
Commercial Operation,"Thursday, 30 December 1971",PICKERING-2
Long-term Shutdown,"Wednesday, 31 December 1997",PICKERING-2
Restart,"Monday, 28 May 2007",PICKERING-2
Permanent Shutdown,"Monday, 28 May 2007",PICKERING-2
Capacity Net,515 MWe,PICKERING-2
Capacity Gross,542 MWe,PICKERING-2
Thermal Capacity,1744 MWt,PICKERING-2
Design Net Capacity,508 MWe,PICKERING-2
Total GWh,71392.25,PICKERING-2
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),PICKERING-3
Model,CANDU 500A,PICKERING-3
Owner,Ontario Power Generation,PICKERING-3
Operator,Ontario Power Generation,PICKERING-3
Construction Start,"Friday, 1 December 1967",PICKERING-3
First Criticality,"Monday, 24 April 1972",PICKERING-3
First Grid Connection,"Wednesday, 3 May 1972",PICKERING-3
Commercial Operation,"Thursday, 1 June 1972",PICKERING-3
Long-term Shutdown,"Monday, 29 December 1997",PICKERING-3
Restart,"Friday, 31 October 2008",PICKERING-3
Permanent Shutdown,"Friday, 31 October 2008",PICKERING-3
Capacity Net,515 MWe,PICKERING-3
Capacity Gross,542 MWe,PICKERING-3
Thermal Capacity,1744 MWt,PICKERING-3
Design Net Capacity,508 MWe,PICKERING-3
Total GWh,79995.59,PICKERING-3
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),PICKERING-4
Model,CANDU 500A,PICKERING-4
Owner,Ontario Power Generation,PICKERING-4
Operator,Ontario Power Generation,PICKERING-4
Construction Start,"Wednesday, 1 May 1968",PICKERING-4
First Criticality,"Wednesday, 16 May 1973",PICKERING-4
First Grid Connection,"Monday, 21 May 1973",PICKERING-4
Commercial Operation,"Sunday, 17 June 1973",PICKERING-4
Long-term Shutdown,"Friday, 2 January 1998",PICKERING-4
Restart,"Sunday, 21 September 2003",PICKERING-4
Permanent Shutdown,"Tuesday, 31 December 2024",PICKERING-4
Capacity Net,515 MWe,PICKERING-4
Capacity Gross,542 MWe,PICKERING-4
Thermal Capacity,1744 MWt,PICKERING-4
Design Net Capacity,508 MWe,PICKERING-4
Total GWh,138701.9,PICKERING-4
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),POINT%20LEPREAU
Model,CANDU 6,POINT%20LEPREAU
Owner,Energie NB Power,POINT%20LEPREAU
Operator,Energie NB Power,POINT%20LEPREAU
Construction Start,"Thursday, 1 May 1975",POINT%20LEPREAU
First Criticality,"Sunday, 25 July 1982",POINT%20LEPREAU
First Grid Connection,"Saturday, 11 September 1982",POINT%20LEPREAU
Commercial Operation,"Tuesday, 1 February 1983",POINT%20LEPREAU
Capacity Net,660 MWe,POINT%20LEPREAU
Capacity Gross,705 MWe,POINT%20LEPREAU
Thermal Capacity,2180 MWt,POINT%20LEPREAU
Design Net Capacity,660 MWe,POINT%20LEPREAU
Total GWh,166353.62,POINT%20LEPREAU
Reactor Type,Pressurised Water Reactor (or PWR),SANAO-1
Model,Hualong One,SANAO-1
Owner,"Cgn Cangnan Nuclear Co.,Ltd",SANAO-1
Operator,"Cgn Cangnan Nuclear Co.,Ltd",SANAO-1
Construction Start,"Thursday, 31 December 2020",SANAO-1
Capacity Net,1117 MWe,SANAO-1
Capacity Gross,1210 MWe,SANAO-1
Thermal Capacity,3180 MWt,SANAO-1
Design Net Capacity,1117 MWe,SANAO-1
Total GWh,0,SANAO-1
Reactor Type,Pressurised Water Reactor (or PWR),SANAO-2
Model,Hualong One,SANAO-2
Owner,"Cgn Cangnan Nuclear Co.,Ltd",SANAO-2
Operator,"Cgn Cangnan Nuclear Co.,Ltd",SANAO-2
Construction Start,"Friday, 31 December 2021",SANAO-2
Capacity Net,1117 MWe,SANAO-2
Capacity Gross,1210 MWe,SANAO-2
Thermal Capacity,3180 MWt,SANAO-2
Design Net Capacity,1117 MWe,SANAO-2
Total GWh,0,SANAO-2
Reactor Type,Pressurised Water Reactor (or PWR),CHANGJIANG-1
Model,CNP-600,CHANGJIANG-1
Owner,Hainan Nuclear Power Company,CHANGJIANG-1
Operator,Hainan Nuclear Power Company,CHANGJIANG-1
Construction Start,"Sunday, 25 April 2010",CHANGJIANG-1
First Criticality,"Monday, 12 October 2015",CHANGJIANG-1
First Grid Connection,"Saturday, 7 November 2015",CHANGJIANG-1
Commercial Operation,"Friday, 25 December 2015",CHANGJIANG-1
Capacity Net,601 MWe,CHANGJIANG-1
Capacity Gross,650 MWe,CHANGJIANG-1
Thermal Capacity,1930 MWt,CHANGJIANG-1
Design Net Capacity,601 MWe,CHANGJIANG-1
Total GWh,34155.19,CHANGJIANG-1
Reactor Type,Pressurised Water Reactor (or PWR),CHANGJIANG-2
Model,CNP-600,CHANGJIANG-2
Owner,China National Nuclear Corporation,CHANGJIANG-2
Operator,Hainan Nuclear Power Company,CHANGJIANG-2
Construction Start,"Sunday, 21 November 2010",CHANGJIANG-2
First Criticality,"Thursday, 9 June 2016",CHANGJIANG-2
First Grid Connection,"Monday, 20 June 2016",CHANGJIANG-2
Commercial Operation,"Friday, 12 August 2016",CHANGJIANG-2
Capacity Net,601 MWe,CHANGJIANG-2
Capacity Gross,650 MWe,CHANGJIANG-2
Thermal Capacity,1930 MWt,CHANGJIANG-2
Design Net Capacity,601 MWe,CHANGJIANG-2
Total GWh,31729.31,CHANGJIANG-2
Reactor Type,Pressurised Water Reactor (or PWR),CHANGJIANG-3
Model,Hualong One,CHANGJIANG-3
Owner,China Huaneng Group,CHANGJIANG-3
Operator,China Huaneng Group,CHANGJIANG-3
Construction Start,"Wednesday, 31 March 2021",CHANGJIANG-3
Capacity Net,1100 MWe,CHANGJIANG-3
Capacity Gross,1200 MWe,CHANGJIANG-3
Thermal Capacity,3190 MWt,CHANGJIANG-3
Design Net Capacity,1100 MWe,CHANGJIANG-3
Total GWh,0,CHANGJIANG-3
Reactor Type,Pressurised Water Reactor (or PWR),CHANGJIANG-4
Model,Hualong One,CHANGJIANG-4
Owner,China Huaneng Group,CHANGJIANG-4
Operator,China Huaneng Group,CHANGJIANG-4
Construction Start,"Tuesday, 28 December 2021",CHANGJIANG-4
Capacity Net,1100 MWe,CHANGJIANG-4
Capacity Gross,1200 MWe,CHANGJIANG-4
Thermal Capacity,3190 MWt,CHANGJIANG-4
Design Net Capacity,1100 MWe,CHANGJIANG-4
Total GWh,0,CHANGJIANG-4
Reactor Type,Fast Reactor (or FBR),XIAPU-1
Model,CFR-600,XIAPU-1
Owner,"Cnnc Longyuan Technology Co. , Ltd",XIAPU-1
Operator,China National Nuclear Corporation,XIAPU-1
Construction Start,"Friday, 29 December 2017",XIAPU-1
Capacity Net,600 MWe,XIAPU-1
Capacity Gross,600 MWe,XIAPU-1
Thermal Capacity,1500 MWt,XIAPU-1
Design Net Capacity,600 MWe,XIAPU-1
Total GWh,0,XIAPU-1
Reactor Type,Fast Reactor (or FBR),XIAPU-2
Model,CFR-600,XIAPU-2
Owner,"Cnnc Longyuan Technology Co. , Ltd",XIAPU-2
Operator,China National Nuclear Corporation,XIAPU-2
Construction Start,"Sunday, 27 December 2020",XIAPU-2
Capacity Net,600 MWe,XIAPU-2
Capacity Gross,600 MWe,XIAPU-2
Thermal Capacity,1500 MWt,XIAPU-2
Design Net Capacity,600 MWe,XIAPU-2
Total GWh,0,XIAPU-2
Reactor Type,Pressurised Water Reactor (or PWR),FANGCHENGGANG-1
Model,CPR-1000,FANGCHENGGANG-1
Owner,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",FANGCHENGGANG-1
Operator,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",FANGCHENGGANG-1
Construction Start,"Friday, 30 July 2010",FANGCHENGGANG-1
First Criticality,"Tuesday, 13 October 2015",FANGCHENGGANG-1
First Grid Connection,"Sunday, 25 October 2015",FANGCHENGGANG-1
Commercial Operation,"Friday, 1 January 2016",FANGCHENGGANG-1
Capacity Net,1000 MWe,FANGCHENGGANG-1
Capacity Gross,1086 MWe,FANGCHENGGANG-1
Thermal Capacity,2905 MWt,FANGCHENGGANG-1
Design Net Capacity,1000 MWe,FANGCHENGGANG-1
Total GWh,61425.27,FANGCHENGGANG-1
Reactor Type,Pressurised Water Reactor (or PWR),FANGCHENGGANG-2
Model,CPR-1000,FANGCHENGGANG-2
Owner,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",FANGCHENGGANG-2
Operator,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",FANGCHENGGANG-2
Construction Start,"Thursday, 23 December 2010",FANGCHENGGANG-2
First Criticality,"Wednesday, 29 June 2016",FANGCHENGGANG-2
First Grid Connection,"Friday, 15 July 2016",FANGCHENGGANG-2
Commercial Operation,"Saturday, 1 October 2016",FANGCHENGGANG-2
Capacity Net,1000 MWe,FANGCHENGGANG-2
Capacity Gross,1086 MWe,FANGCHENGGANG-2
Thermal Capacity,2905 MWt,FANGCHENGGANG-2
Design Net Capacity,1000 MWe,FANGCHENGGANG-2
Total GWh,57454.71,FANGCHENGGANG-2
Reactor Type,Pressurised Water Reactor (or PWR),FANGCHENGGANG-3
Model,Hualong One,FANGCHENGGANG-3
Owner,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",FANGCHENGGANG-3
Operator,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",FANGCHENGGANG-3
Construction Start,"Thursday, 24 December 2015",FANGCHENGGANG-3
First Criticality,"Tuesday, 27 December 2022",FANGCHENGGANG-3
First Grid Connection,"Tuesday, 10 January 2023",FANGCHENGGANG-3
Commercial Operation,"Saturday, 25 March 2023",FANGCHENGGANG-3
Capacity Net,1105 MWe,FANGCHENGGANG-3
Capacity Gross,1188 MWe,FANGCHENGGANG-3
Thermal Capacity,3150 MWt,FANGCHENGGANG-3
Design Net Capacity,1105 MWe,FANGCHENGGANG-3
Total GWh,7569.94,FANGCHENGGANG-3
Reactor Type,Pressurised Water Reactor (or PWR),FANGCHENGGANG-4
Model,Hualong One,FANGCHENGGANG-4
Owner,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",FANGCHENGGANG-4
Operator,"Guangxi Fangchenggang Nuclear Power Company, Ltd.",FANGCHENGGANG-4
Construction Start,"Friday, 23 December 2016",FANGCHENGGANG-4
First Criticality,"Wednesday, 3 April 2024",FANGCHENGGANG-4
First Grid Connection,"Tuesday, 9 April 2024",FANGCHENGGANG-4
Commercial Operation,"Saturday, 25 May 2024",FANGCHENGGANG-4
Capacity Net,1105 MWe,FANGCHENGGANG-4
Capacity Gross,1188 MWe,FANGCHENGGANG-4
Thermal Capacity,3150 MWt,FANGCHENGGANG-4
Design Net Capacity,1105 MWe,FANGCHENGGANG-4
Total GWh,0,FANGCHENGGANG-4
Reactor Type,Pressurised Water Reactor (or PWR),FUQING-1
Model,CPR-1000,FUQING-1
Owner,"Cnnc Fujian Fuqing Nuclear Power Co., Ltd",FUQING-1
Operator,CNNC Fujian Fuqing Nuclear Power Co Ltd,FUQING-1
Construction Start,"Friday, 21 November 2008",FUQING-1
First Criticality,"Thursday, 24 July 2014",FUQING-1
First Grid Connection,"Wednesday, 20 August 2014",FUQING-1
Commercial Operation,"Saturday, 22 November 2014",FUQING-1
Capacity Net,1000 MWe,FUQING-1
Capacity Gross,1089 MWe,FUQING-1
Thermal Capacity,2905 MWt,FUQING-1
Design Net Capacity,1000 MWe,FUQING-1
Total GWh,67944.33,FUQING-1
Reactor Type,Pressurised Water Reactor (or PWR),FUQING-2
Model,CPR-1000,FUQING-2
Owner,"Cnnc Fujian Fuqing Nuclear Power Co., Ltd",FUQING-2
Operator,CNNC Fujian Fuqing Nuclear Power Co Ltd,FUQING-2
Construction Start,"Wednesday, 17 June 2009",FUQING-2
First Criticality,"Wednesday, 22 July 2015",FUQING-2
First Grid Connection,"Thursday, 6 August 2015",FUQING-2
Commercial Operation,"Friday, 16 October 2015",FUQING-2
Capacity Net,1000 MWe,FUQING-2
Capacity Gross,1089 MWe,FUQING-2
Thermal Capacity,2905 MWt,FUQING-2
Design Net Capacity,1000 MWe,FUQING-2
Total GWh,61833.41,FUQING-2
Reactor Type,Pressurised Water Reactor (or PWR),FUQING-3
Model,CPR-1000,FUQING-3
Owner,"Cnnc Fujian Fuqing Nuclear Power Co., Ltd",FUQING-3
Operator,CNNC Fujian Fuqing Nuclear Power Co Ltd,FUQING-3
Construction Start,"Friday, 31 December 2010",FUQING-3
First Criticality,"Sunday, 3 July 2016",FUQING-3
First Grid Connection,"Wednesday, 7 September 2016",FUQING-3
Commercial Operation,"Monday, 24 October 2016",FUQING-3
Capacity Net,1000 MWe,FUQING-3
Capacity Gross,1089 MWe,FUQING-3
Thermal Capacity,2905 MWt,FUQING-3
Design Net Capacity,1000 MWe,FUQING-3
Total GWh,52180.5,FUQING-3
Reactor Type,Pressurised Water Reactor (or PWR),FUQING-4
Model,CPR-1000,FUQING-4
Owner,"Cnnc Fujian Fuqing Nuclear Power Co., Ltd",FUQING-4
Operator,CNNC Fujian Fuqing Nuclear Power Co Ltd,FUQING-4
Construction Start,"Saturday, 17 November 2012",FUQING-4
First Criticality,"Sunday, 16 July 2017",FUQING-4
First Grid Connection,"Saturday, 29 July 2017",FUQING-4
Commercial Operation,"Sunday, 17 September 2017",FUQING-4
Capacity Net,1000 MWe,FUQING-4
Capacity Gross,1089 MWe,FUQING-4
Thermal Capacity,2905 MWt,FUQING-4
Design Net Capacity,1000 MWe,FUQING-4
Total GWh,44172.53,FUQING-4
Reactor Type,Pressurised Water Reactor (or PWR),FUQING-5
Model,Hualong One,FUQING-5
Owner,"Cnnc Fujian Fuqing Nuclear Power Co., Ltd",FUQING-5
Operator,CNNC Fujian Fuqing Nuclear Power Co Ltd,FUQING-5
Construction Start,"Thursday, 7 May 2015",FUQING-5
First Criticality,"Wednesday, 21 October 2020",FUQING-5
First Grid Connection,"Friday, 27 November 2020",FUQING-5
Commercial Operation,"Saturday, 30 January 2021",FUQING-5
Capacity Net,1075 MWe,FUQING-5
Capacity Gross,1161 MWe,FUQING-5
Thermal Capacity,3050 MWt,FUQING-5
Design Net Capacity,1075 MWe,FUQING-5
Total GWh,23708.58,FUQING-5
Reactor Type,Pressurised Water Reactor (or PWR),FUQING-6
Model,Hualong One,FUQING-6
Owner,"Cnnc Fujian Fuqing Nuclear Power Co., Ltd",FUQING-6
Operator,"Cnnc Fujian Fuqing Nuclear Power Co., Ltd",FUQING-6
Construction Start,"Tuesday, 22 December 2015",FUQING-6
First Criticality,"Saturday, 11 December 2021",FUQING-6
First Grid Connection,"Saturday, 1 January 2022",FUQING-6
Commercial Operation,"Friday, 25 March 2022",FUQING-6
Capacity Net,1075 MWe,FUQING-6
Capacity Gross,1150 MWe,FUQING-6
Thermal Capacity,3060 MWt,FUQING-6
Design Net Capacity,1075 MWe,FUQING-6
Total GWh,16182.09,FUQING-6
Reactor Type,Pressurised Water Reactor (or PWR),DAYA%20BAY-1
Model,M310,DAYA%20BAY-1
Owner,China Guangdong Nuclear Power Holding Co Ltd,DAYA%20BAY-1
Operator,Daya Bay Nuclear Power Operations and Management Co Ltd,DAYA%20BAY-1
Construction Start,"Friday, 7 August 1987",DAYA%20BAY-1
First Criticality,"Wednesday, 28 July 1993",DAYA%20BAY-1
First Grid Connection,"Tuesday, 31 August 1993",DAYA%20BAY-1
Commercial Operation,"Tuesday, 1 February 1994",DAYA%20BAY-1
Capacity Net,944 MWe,DAYA%20BAY-1
Capacity Gross,984 MWe,DAYA%20BAY-1
Thermal Capacity,2905 MWt,DAYA%20BAY-1
Design Net Capacity,930 MWe,DAYA%20BAY-1
Total GWh,216677.41,DAYA%20BAY-1
Reactor Type,Pressurised Water Reactor (or PWR),DAYA%20BAY-2
Model,M310,DAYA%20BAY-2
Owner,China Guangdong Nuclear Power Holding Co Ltd,DAYA%20BAY-2
Operator,Daya Bay Nuclear Power Operations and Management Co Ltd,DAYA%20BAY-2
Construction Start,"Thursday, 7 April 1988",DAYA%20BAY-2
First Criticality,"Friday, 21 January 1994",DAYA%20BAY-2
First Grid Connection,"Monday, 7 February 1994",DAYA%20BAY-2
Commercial Operation,"Friday, 6 May 1994",DAYA%20BAY-2
Capacity Net,944 MWe,DAYA%20BAY-2
Capacity Gross,984 MWe,DAYA%20BAY-2
Thermal Capacity,2905 MWt,DAYA%20BAY-2
Design Net Capacity,930 MWe,DAYA%20BAY-2
Total GWh,213360.36,DAYA%20BAY-2
Reactor Type,Pressurised Water Reactor (or PWR),HAIYANG-1
Model,AP1000,HAIYANG-1
Owner,China Power Investment Group,HAIYANG-1
Operator,"Shandong Nuclear Power Company, Ltd.",HAIYANG-1
Construction Start,"Thursday, 24 September 2009",HAIYANG-1
First Criticality,"Wednesday, 8 August 2018",HAIYANG-1
First Grid Connection,"Friday, 17 August 2018",HAIYANG-1
Commercial Operation,"Monday, 22 October 2018",HAIYANG-1
Capacity Net,1170 MWe,HAIYANG-1
Capacity Gross,1250 MWe,HAIYANG-1
Thermal Capacity,3415 MWt,HAIYANG-1
Design Net Capacity,1126 MWe,HAIYANG-1
Total GWh,48591.34,HAIYANG-1
Reactor Type,Pressurised Water Reactor (or PWR),HAIYANG-2
Model,AP1000,HAIYANG-2
Owner,China Power Investment Group,HAIYANG-2
Operator,"Shandong Nuclear Power Company, Ltd.",HAIYANG-2
Construction Start,"Sunday, 20 June 2010",HAIYANG-2
First Criticality,"Saturday, 29 September 2018",HAIYANG-2
First Grid Connection,"Saturday, 13 October 2018",HAIYANG-2
Commercial Operation,"Wednesday, 9 January 2019",HAIYANG-2
Capacity Net,1170 MWe,HAIYANG-2
Capacity Gross,1250 MWe,HAIYANG-2
Thermal Capacity,3415 MWt,HAIYANG-2
Design Net Capacity,1126 MWe,HAIYANG-2
Total GWh,47894.25,HAIYANG-2
Reactor Type,Pressurised Water Reactor (or PWR),HAIYANG-3
Model,CAP1000,HAIYANG-3
Owner,China Power Investment Group,HAIYANG-3
Operator,"Shandong Nuclear Power Company, Ltd.",HAIYANG-3
Construction Start,"Thursday, 7 July 2022",HAIYANG-3
Capacity Net,1161 MWe,HAIYANG-3
Capacity Gross,1253 MWe,HAIYANG-3
Thermal Capacity,3400 MWt,HAIYANG-3
Design Net Capacity,1161 MWe,HAIYANG-3
Total GWh,0,HAIYANG-3
Reactor Type,Pressurised Water Reactor (or PWR),HAIYANG-4
Model,CAP1000,HAIYANG-4
Owner,China Power Investment Group,HAIYANG-4
Operator,"Shandong Nuclear Power Company, Ltd.",HAIYANG-4
Construction Start,"Saturday, 22 April 2023",HAIYANG-4
Capacity Net,1161 MWe,HAIYANG-4
Capacity Gross,1253 MWe,HAIYANG-4
Thermal Capacity,3400 MWt,HAIYANG-4
Design Net Capacity,1161 MWe,HAIYANG-4
Total GWh,0,HAIYANG-4
Reactor Type,Pressurised Water Reactor (or PWR),HONGYANHE-1
Model,CPR-1000,HONGYANHE-1
Owner,Liaoning Hongyanhe Nuclear Power Co Ltd,HONGYANHE-1
Operator,Liaoning Hongyanhe Nuclear Power Co Ltd,HONGYANHE-1
Construction Start,"Saturday, 18 August 2007",HONGYANHE-1
First Criticality,"Wednesday, 16 January 2013",HONGYANHE-1
First Grid Connection,"Sunday, 17 February 2013",HONGYANHE-1
Commercial Operation,"Thursday, 6 June 2013",HONGYANHE-1
Capacity Net,1061 MWe,HONGYANHE-1
Capacity Gross,1119 MWe,HONGYANHE-1
Thermal Capacity,2905 MWt,HONGYANHE-1
Design Net Capacity,1061 MWe,HONGYANHE-1
Total GWh,80966.36,HONGYANHE-1
Reactor Type,Pressurised Water Reactor (or PWR),HONGYANHE-2
Model,CPR-1000,HONGYANHE-2
Owner,Liaoning Hongyanhe Nuclear Power Co Ltd,HONGYANHE-2
Operator,Liaoning Hongyanhe Nuclear Power Co Ltd,HONGYANHE-2
Construction Start,"Friday, 28 March 2008",HONGYANHE-2
